Scholarship Name,Minimum Education Qualification,Link
Kishori Shakti Yojana,Primary Education,https://wcd.nic.in/schemes/kishori-shakti-yojana
Saksham Scholarship for Differently-Abled Girls,Secondary Education,https://www.aicte-india.org/saksham-scholarship
Begum Hazrat Mahal Scholarship,Secondary Education,https://www.minorityaffairs.gov.in/begum-hazrat-mahal-scholarship
Beti Bachao Beti Padhao Scholarship,Primary Education,https://wcd.nic.in/bbbp-schemes
Pratibha Scholarship (Delhi),Higher Secondary,http://edistrict.delhigovt.nic.in/
CBSE Single Girl Child Scholarship,Secondary Education,https://cbse.nic.in/scholarship/
Post-Matric Scholarship for Girls,Higher Secondary,https://scholarships.gov.in/
Udaan Scholarship for Girls,Higher Secondary,https://cbse.nic.in/udaan/
AICTE Saksham Scholarship for Differently-Abled Girls,Secondary Education,https://www.aicte-india.org/saksham-scholarship
Raman Charpak Fellowship,Undergraduate/Postgraduate,http://cefipra.org/raman-charpak/
National Scholarship for Higher Education for Girls,Higher Secondary,https://scholarships.gov.in/
Dr. Ambedkar Post-Matric Scholarship,Higher Secondary,https://socialjustice.nic.in/
Indira Gandhi Scholarship for Single Girl Child,Undergraduate/Postgraduate,https://www.ugc.ac.in/igssc/
Pre-Matric Scholarship for Girls,Primary Education,https://scholarships.gov.in/
Post-Graduate Merit Scholarship for University Rank Holders,Undergraduate/Postgraduate,https://www.ugc.ac.in/pgsmerit/
AICTE Pragati Scholarship for Girls,Secondary Education,https://www.aicte-india.org/pragati-saksham-scholarship
Fulbright-Nehru Master's Fellowships,Postgraduate,https://www.usief.org.in/Fellowships/Fulbright-Nehru-Master's-Fellowships.aspx
Commonwealth Scholarship for Postgraduate Studies,Postgraduate,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/
DAAD Postgraduate Scholarships,Postgraduate,https://www.daad.de/en/study-and-research-in-germany/scholarships/
Chevening Scholarships for Postgraduate Studies,Postgraduate,https://www.chevening.org/scholarships/
Inlaks Shivdasani Foundation Scholarships,Postgraduate,https://www.inlaksfoundation.org/scholarships/
